type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,food_per_guest,food_per_guest_category
Meat,250,Wedding,350,Refrigerated,Regular,Summer,Buffet,Urban,Low,10,1.4,Medium
Meat,250,Wedding,480,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20,1.92,High
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,1.25,Low
Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,20,1.3333333333333333,Medium
Meat,400,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45,1.25,Low
Meat,300,Corporate,400,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40,1.3333333333333333,Medium
Fruits,310,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Urban,High,35,1.1290322580645162,Low
Meat,400,Wedding,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35,0.875,Low
Meat,207,Corporate,280,Room Temperature,Regular,Summer,Finger Food,Suburban,High,20,1.3526570048309179,Medium
Fruits,380,Wedding,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,High,35,1.3157894736842106,Medium
Meat,302,Social Gathering,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,1.228476821192053,Low
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,1.4,Medium
Baked Goods,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15,1.25,Low
Vegetables,350,Birthday,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35,1.2857142857142858,Low
Fruits,220,Wedding,300,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,15,1.3636363636363635,Medium
Vegetables,300,Birthday,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Low,15,1.3333333333333333,Medium
Meat,300,Social Gathering,450,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35,1.5,Medium
Fruits,250,Corporate,350,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,20,1.4,Medium
Vegetables,350,Wedding,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,1.2857142857142858,Low
Fruits,442,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,32,1.090497737556561,Low
Fruits,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,1.2857142857142858,Low
Baked Goods,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,20,1.3333333333333333,Medium
Dairy Products,310,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,1.1290322580645162,Low
Baked Goods,275,Wedding,388,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,16,1.410909090909091,Medium
Fruits,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,1.1290322580645162,Low
Baked Goods,220,Birthday,300,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Dairy Products,380,Wedding,480,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Dairy Products,491,Wedding,497,Room Temperature,Occasional,Summer,Finger Food,Rural,High,32,1.0122199592668024,Low
Dairy Products,250,Birthday,350,Room Temperature,Occasional,Winter,Buffet,Rural,Moderate,20,1.4,Medium
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40,1.4,Medium
Fruits,220,Corporate,300,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,20,1.3636363636363635,Medium
Fruits,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,1.25,Low
Fruits,300,Corporate,400,Room Temperature,Occasional,All Seasons,Finger Food,Rural,Moderate,25,1.3333333333333333,Medium
Baked Goods,250,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.4,Medium
Meat,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3333333333333333,Medium
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,1.25,Low
Meat,208,Social Gathering,282,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,22,1.3557692307692308,Medium
Baked Goods,438,Corporate,493,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,35,1.1255707762557077,Low
Vegetables,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,1.25,Low
Baked Goods,207,Corporate,280,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,20,1.3526570048309179,Medium
Vegetables,453,Social Gathering,484,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54,1.0684326710816776,Low
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15,1.3333333333333333,Medium
Vegetables,280,Corporate,350,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,20,1.25,Low
Dairy Products,400,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Rural,High,40,1.0,Low
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,1.4,Medium
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20,1.4,Medium
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,1.4,Medium
Baked Goods,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,1.3636363636363635,Medium
Vegetables,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Moderate,20,1.4,Medium
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,29,1.1842105263157894,Low
Vegetables,400,Corporate,500,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50,1.25,Low
Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,1.3333333333333333,Medium
Dairy Products,491,Social Gathering,497,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,32,1.0122199592668024,Low
Dairy Products,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.3157894736842106,Medium
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,1.3333333333333333,Medium
Dairy Products,230,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30,2.1739130434782608,High
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25,1.3333333333333333,Medium
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Buffet,Suburban,High,40,1.3333333333333333,Medium
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20,1.3333333333333333,Medium
Meat,302,Wedding,371,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,27,1.228476821192053,Low
Vegetables,472,Birthday,489,Refrigerated,Regular,Summer,Buffet,Urban,Low,36,1.0360169491525424,Low
Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Buffet,Suburban,High,40,1.3333333333333333,Medium
Vegetables,250,Wedding,350,Refrigerated,Regular,Winter,Buffet,Suburban,Low,10,1.4,Medium
Meat,290,Corporate,374,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,27,1.289655172413793,Low
Meat,434,Corporate,495,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,36,1.140552995391705,Low
Fruits,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Urban,Low,15,1.25,Low
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45,1.25,Low
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.2857142857142858,Low
Meat,250,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Suburban,High,30,1.4,Medium
Vegetables,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,35,1.2857142857142858,Low
Vegetables,280,Wedding,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20,1.25,Low
Fruits,302,Corporate,371,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,22,1.228476821192053,Low
Meat,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,1.4,Medium
Meat,280,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20,1.25,Low
Meat,320,Birthday,400,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30,1.25,Low
Fruits,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,1.4,Medium
Meat,380,Birthday,480,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Meat,380,Corporate,480,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Meat,280,Corporate,350,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,20,1.25,Low
Vegetables,434,Corporate,495,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,36,1.140552995391705,Low
Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20,1.4,Medium
Vegetables,320,Social Gathering,480,Refrigerated,Occasional,Winter,Buffet,Rural,High,40,1.5,Medium
Baked Goods,442,Wedding,482,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,32,1.090497737556561,Low
Vegetables,300,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,1.3333333333333333,Medium
Vegetables,280,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Baked Goods,380,Birthday,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Fruits,292,Corporate,470,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50,1.6095890410958904,Medium
Vegetables,320,Corporate,400,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Meat,261,Wedding,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,24,1.3409961685823755,Medium
Fruits,300,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1.3333333333333333,Medium
Vegetables,400,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,25,1.25,Low
Fruits,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,15,1.3636363636363635,Medium
Baked Goods,400,Birthday,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,40,1.25,Low
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,1.25,Low
Fruits,250,Social Gathering,480,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20,1.92,High
Vegetables,280,Wedding,480,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,15,1.7142857142857142,Medium
Baked Goods,300,Wedding,400,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,Low,20,1.3333333333333333,Medium
Fruits,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Fruits,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,1.289655172413793,Low
Fruits,320,Birthday,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,1.25,Low
Fruits,261,Birthday,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23,1.3409961685823755,Medium
Baked Goods,350,Birthday,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.2857142857142858,Low
Baked Goods,270,Birthday,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,1.4814814814814814,Medium
Vegetables,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,1.25,Low
Baked Goods,380,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,1.3157894736842106,Medium
Vegetables,397,Corporate,482,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,31,1.2141057934508817,Low
Dairy Products,350,Wedding,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30,1.2857142857142858,Low
Dairy Products,220,Birthday,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Vegetables,250,Birthday,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15,1.3636363636363635,Medium
Meat,267,Wedding,393,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Low,24,1.4719101123595506,Medium
Meat,280,Wedding,350,Refrigerated,Regular,All Seasons,Finger Food,Urban,Low,20,1.25,Low
Fruits,220,Corporate,300,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,15,1.3636363636363635,Medium
Vegetables,280,Birthday,350,Refrigerated,Regular,Winter,Finger Food,Rural,Low,20,1.25,Low
Vegetables,250,Corporate,350,Refrigerated,Regular,Winter,Finger Food,Rural,High,30,1.4,Medium
Baked Goods,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,1.25,Low
Dairy Products,300,Social Gathering,450,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35,1.5,Medium
Fruits,300,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.3333333333333333,Medium
Dairy Products,292,Social Gathering,470,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,1.6095890410958904,Medium
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.25,Low
Fruits,220,Wedding,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Dairy Products,367,Birthday,420,Room Temperature,Regular,Winter,Buffet,Urban,Low,40,1.1444141689373297,Low
Vegetables,220,Birthday,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,1.3636363636363635,Medium
Fruits,300,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,1.3333333333333333,Medium
Vegetables,250,Corporate,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35,1.4,Medium
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,1.25,Low
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,1.3333333333333333,Medium
Baked Goods,250,Social Gathering,500,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,40,2.0,High
Dairy Products,300,Corporate,400,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Moderate,25,1.3333333333333333,Medium
Dairy Products,240,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20,1.875,High
Vegetables,220,Corporate,300,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,15,1.3636363636363635,Medium
Meat,220,Birthday,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Baked Goods,280,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,1.25,Low
Meat,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,1.3636363636363635,Medium
Fruits,280,Birthday,350,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,20,1.25,Low
Fruits,250,Wedding,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.4,Medium
Fruits,320,Social Gathering,400,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,30,1.25,Low
Vegetables,230,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,20,2.1739130434782608,High
Fruits,250,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,1.4,Medium
Meat,280,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Vegetables,208,Corporate,282,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,22,1.3557692307692308,Medium
Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,1.4,Medium
Vegetables,208,Wedding,282,Refrigerated,Occasional,Summer,Sit-down Dinner,Rural,Moderate,22,1.3557692307692308,Medium
Baked Goods,300,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35,1.5,Medium
Dairy Products,302,Corporate,371,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,27,1.228476821192053,Low
Baked Goods,380,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.3157894736842106,Medium
Baked Goods,367,Social Gathering,420,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,40,1.1444141689373297,Low
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20,1.25,Low
Vegetables,350,Wedding,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,1.2857142857142858,Low
Fruits,400,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50,1.25,Low
Meat,280,Social Gathering,480,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,15,1.7142857142857142,Medium
Vegetables,280,Social Gathering,350,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,20,1.25,Low
Dairy Products,400,Wedding,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,40,1.25,Low
Baked Goods,310,Social Gathering,350,Room Temperature,Regular,Summer,Finger Food,Rural,High,35,1.1290322580645162,Low
Baked Goods,320,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25,1.25,Low
Meat,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Dairy Products,400,Wedding,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,0.875,Low
Dairy Products,310,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35,1.1290322580645162,Low
Fruits,250,Social Gathering,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.4,Medium
Fruits,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Dairy Products,300,Birthday,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,1.5,Medium
Dairy Products,270,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40,1.4814814814814814,Medium
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,40,1.25,Low
Baked Goods,380,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35,1.3157894736842106,Medium
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,1.3333333333333333,Medium
Dairy Products,434,Social Gathering,495,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Low,36,1.140552995391705,Low
Baked Goods,350,Birthday,450,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Dairy Products,434,Corporate,495,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,36,1.140552995391705,Low
Dairy Products,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,1.2857142857142858,Low
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50,1.25,Low
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15,1.25,Low
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,1.25,Low
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,20,1.25,Low
Baked Goods,438,Social Gathering,493,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,35,1.1255707762557077,Low
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,1.3333333333333333,Medium
Meat,280,Birthday,350,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,20,1.25,Low
Fruits,400,Corporate,500,Room Temperature,Regular,Summer,Buffet,Rural,High,30,1.25,Low
Meat,292,Birthday,470,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50,1.6095890410958904,Medium
Meat,220,Corporate,300,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15,1.3636363636363635,Medium
Fruits,280,Corporate,480,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15,1.7142857142857142,Medium
Baked Goods,350,Corporate,450,Room Temperature,Regular,Winter,Buffet,Urban,High,40,1.2857142857142858,Low
Fruits,439,Social Gathering,459,Refrigerated,Regular,Summer,Buffet,Suburban,Low,26,1.0455580865603644,Low
Fruits,400,Corporate,500,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,50,1.25,Low
Fruits,400,Corporate,500,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40,1.25,Low
Fruits,367,Social Gathering,420,Room Temperature,Regular,Summer,Buffet,Urban,Low,40,1.1444141689373297,Low
Fruits,380,Wedding,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25,1.0526315789473684,Low
Vegetables,250,Wedding,350,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,40,1.4,Medium
Vegetables,380,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25,1.0526315789473684,Low
Baked Goods,250,Wedding,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,1.4,Medium
Meat,400,Corporate,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,High,45,1.25,Low
Meat,380,Corporate,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35,1.3157894736842106,Medium
Meat,400,Corporate,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,45,1.25,Low
Fruits,350,Corporate,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35,1.2857142857142858,Low
Vegetables,250,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,1.4,Medium
Vegetables,400,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,40,1.0,Low
Fruits,400,Birthday,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,0.875,Low
Dairy Products,320,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,1.25,Low
Dairy Products,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Urban,Low,20,1.3333333333333333,Medium
Meat,280,Corporate,350,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,20,1.25,Low
Fruits,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15,1.3636363636363635,Medium
Meat,320,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25,1.25,Low
Baked Goods,350,Corporate,450,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20,1.2857142857142858,Low
Vegetables,300,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.3333333333333333,Medium
Vegetables,320,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.25,Low
Fruits,220,Corporate,300,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Fruits,220,Corporate,300,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15,1.3636363636363635,Medium
Dairy Products,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,15,1.3636363636363635,Medium
Baked Goods,400,Birthday,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45,1.25,Low
Dairy Products,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Rural,High,40,1.25,Low
Dairy Products,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50,1.25,Low
Baked Goods,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,1.25,Low
Dairy Products,434,Corporate,495,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,36,1.140552995391705,Low
Baked Goods,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Baked Goods,220,Birthday,300,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15,1.3636363636363635,Medium
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,1.25,Low
Dairy Products,250,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30,1.4,Medium
Baked Goods,453,Social Gathering,484,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,54,1.0684326710816776,Low
Dairy Products,260,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,20,1.5384615384615385,Medium
Vegetables,350,Social Gathering,450,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.2857142857142858,Low
Fruits,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Dairy Products,250,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,15,1.4,Medium
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,45,1.25,Low
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25,1.25,Low
Baked Goods,350,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,1.1428571428571428,Low
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.2857142857142858,Low
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,40,1.25,Low
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,1.3333333333333333,Medium
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Fruits,320,Social Gathering,400,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Moderate,25,1.25,Low
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,20,1.4,Medium
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Buffet,Rural,High,30,1.25,Low
Meat,320,Corporate,400,Room Temperature,Regular,Winter,Buffet,Urban,High,45,1.25,Low
Meat,400,Wedding,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Low,25,1.25,Low
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50,1.25,Low
Fruits,380,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,1.3157894736842106,Medium
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.3333333333333333,Medium
